turbostat version 18.07.27 - Len Brown <lenb@kernel.org>
CPUID(0): GenuineIntel 0xd CPUID levels; 0x80000008 xlevels; family:model:stepping 0x6:3a:9 (6:58:9)
CPUID(1): SSE3 MONITOR SMX EIST TM2 TSC MSR ACPI-TM HT TM
CPUID(6): APERF, TURBO, DTS, PTM, No-HWP, No-HWPnotify, No-HWPwindow, No-HWPepp, No-HWPpkg, EPB
cpu2: MSR_IA32_MISC_ENABLE: 0x00850089 (TCC EIST MWAIT PREFETCH TURBO)
CPUID(7): No-SGX
cpu2: MSR_MISC_PWR_MGMT: 0x00400000 (ENable-EIST_Coordination DISable-EPB DISable-OOB)
RAPL: 1456 sec. Joule Counter Range, at 45 Watts
cpu2: MSR_PLATFORM_INFO: 0x80c10f0011b00
12 * 100.0 = 1200.0 MHz max efficiency frequency
27 * 100.0 = 2700.0 MHz base frequency
cpu2: MSR_IA32_POWER_CTL: 0x0014005d (C1E auto-promotion: DISabled)
cpu2: MSR_TURBO_RATIO_LIMIT: 0x23232425
35 * 100.0 = 3500.0 MHz max turbo 4 active cores
35 * 100.0 = 3500.0 MHz max turbo 3 active cores
36 * 100.0 = 3600.0 MHz max turbo 2 active cores
37 * 100.0 = 3700.0 MHz max turbo 1 active cores
cpu2: MSR_CONFIG_TDP_NOMINAL: 0x0000001b (base_ratio=27)
cpu2: MSR_CONFIG_TDP_LEVEL_1: 0x120000000000000 (PKG_MIN_PWR_LVL1=288 PKG_MAX_PWR_LVL1=0 LVL1_RATIO=0 PKG_TDP_LVL1=0)
cpu2: MSR_CONFIG_TDP_LEVEL_2: 0x120000000000000 (PKG_MIN_PWR_LVL2=288 PKG_MAX_PWR_LVL2=0 LVL2_RATIO=0 PKG_TDP_LVL2=0)
cpu2: MSR_CONFIG_TDP_CONTROL: 0x80000000 ( lock=1)
cpu2: MSR_TURBO_ACTIVATION_RATIO: 0x00000000 (MAX_NON_TURBO_RATIO=0 lock=0)
cpu2: MSR_PKG_CST_CONFIG_CONTROL: 0x1e008404 (UNdemote-C3, UNdemote-C1, demote-C3, demote-C1, locked, pkg-cstate-limit=4 (pc7))
cpu2: POLL: CPUIDLE CORE POLL IDLE
cpu2: C1: MWAIT 0x00
cpu2: C1E: MWAIT 0x01
cpu2: C3: MWAIT 0x10
cpu2: C6: MWAIT 0x20
cpu2: C7: MWAIT 0x30
cpu2: cpufreq driver: intel_pstate
cpu2: cpufreq governor: powersave
cpufreq intel_pstate no_turbo: 0
cpu2: MSR_MISC_FEATURE_CONTROL: 0x00000000 (L2-Prefetch L2-Prefetch-pair L1-Prefetch L1-IP-Prefetch)
cpu0: MSR_IA32_ENERGY_PERF_BIAS: 0x00000006 (balanced)
cpu0: MSR_RAPL_POWER_UNIT: 0x000a1003 (0.125000 Watts, 0.000015 Joules, 0.000977 sec.)
cpu0: MSR_PKG_POWER_INFO: 0x01200168 (45 W TDP, RAPL 36 - 0 W, 0.000000 sec.)
cpu0: MSR_PKG_POWER_LIMIT: 0x800081c200dc8168 (locked)
cpu0: PKG Limit #1: ENabled (45.000000 Watts, 28.000000 sec, clamp DISabled)
cpu0: PKG Limit #2: ENabled (56.250000 Watts, 0.000977* sec, clamp DISabled)
cpu0: MSR_PP0_POLICY: 0
cpu0: MSR_PP0_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: Cores Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_PP1_POLICY: 0
cpu0: MSR_PP1_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: GFX Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_IA32_TEMPERATURE_TARGET: 0x00691200 (105 C)
cpu0: MSR_IA32_PACKAGE_THERM_STATUS: 0x88340108 (53 C)
cpu0: MSR_IA32_PACKAGE_THERM_INTERRUPT: 0x00c1ad00 (40 C, 60 C)
cpu2: MSR_PKGC3_IRTL: 0x0000883b (valid, 60416 ns)
cpu2: MSR_PKGC6_IRTL: 0x00008850 (valid, 81920 ns)
cpu2: MSR_PKGC7_IRTL: 0x00008857 (valid, 89088 ns)
Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IRQ	SMI	POLL	C1	C1E	C3	C6	C7	POLL%	C1%	C1E%	C3%	C6%	C7%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	PkgWatt	CorWatt	GFXWatt
3	0.15	1931	2691	138	0	0	0	2	1	0	172	0.00	0.00	0.01	0.00	0.00	99.84	0.24	0.00	0.00	99.61	48	48	0.00	350	0.73	0.00	0.85	96.62	3.18	0.33	0.00
6	0.24	2276	2691	179	8	0	2	27	10	0	256	0.00	0.00	0.42	0.03	0.00	99.32	1.25	0.57	0.00	97.94	48	48	0.00	350	0.97	0.80	0.96	91.45	3.39	0.50	0.00
5	0.20	2316	2691	141	0	0	1	9	1	0	183	0.00	0.00	0.01	0.00	0.00	99.78	0.27	0.00	0.00	99.53	51	48	0.00	350	0.75	0.00	0.88	96.34	3.21	0.36	0.00
6	0.26	2224	2691	185	8	0	0	18	5	0	275	0.00	0.00	0.05	0.01	0.00	99.69	0.54	0.67	0.00	98.53	51	51	0.00	350	1.20	0.77	1.14	93.53	3.35	0.47	0.00
3	0.14	1953	2691	114	0	0	0	0	0	0	150	0.00	0.00	0.00	0.00	0.00	99.86	0.23	0.00	0.00	99.63	48	49	0.00	350	0.79	0.00	0.90	96.43	3.18	0.33	0.00
5	0.23	2306	2691	175	8	0	1	27	6	0	256	0.00	0.00	0.40	0.01	0.00	99.36	1.24	0.67	0.00	97.85	50	49	0.00	350	0.88	0.72	0.92	91.83	3.37	0.48	0.00
3	0.14	1956	2691	115	0	0	0	0	0	0	153	0.00	0.00	0.00	0.00	0.00	99.86	0.24	0.00	0.00	99.62	52	47	0.00	350	0.74	0.00	0.88	96.53	3.19	0.34	0.00
6	0.27	2269	2691	198	8	0	1	17	9	0	286	0.00	0.00	0.06	0.02	0.00	99.66	0.57	0.61	0.00	98.55	51	51	0.00	350	1.10	0.90	1.11	93.74	3.33	0.46	0.00
4	0.18	2017	2691	158	0	0	0	4	1	0	200	0.00	0.00	0.01	0.00	0.00	99.81	0.33	0.01	0.00	99.49	48	49	0.00	350	1.03	0.01	1.17	95.34	3.24	0.37	0.00
7	0.29	2333	2691	200	8	0	2	17	7	0	289	0.00	0.05	0.03	0.01	0.00	99.62	0.63	0.58	0.00	98.50	50	50	0.00	550	1.20	0.77	1.31	92.81	3.41	0.52	0.00
3	0.19	1750	2691	214	0	0	0	0	1	0	250	0.00	0.00	0.00	0.00	0.00	99.81	0.30	0.00	0.00	99.50	48	48	0.00	350	0.98	0.00	1.08	95.70	3.22	0.35	0.00
6	0.25	2328	2691	170	8	0	0	24	10	0	254	0.00	0.00	0.06	0.02	0.00	99.67	0.54	0.70	0.00	98.50	49	49	0.00	350	0.98	0.87	0.98	94.06	3.33	0.46	0.00
3	0.14	2031	2691	116	0	0	0	0	0	0	152	0.00	0.00	0.00	0.00	0.00	99.86	0.22	0.00	0.00	99.64	50	50	0.00	350	0.71	0.00	0.85	96.51	3.18	0.33	0.00
11	0.43	2640	2691	222	16	0	1	21	9	0	312	0.00	0.00	0.07	0.01	0.00	99.54	0.69	0.52	0.00	98.36	51	48	0.00	350	1.22	0.83	1.33	92.75	3.47	0.58	0.00
3	0.17	2030	2691	137	0	0	0	1	1	0	182	0.00	0.00	0.01	0.00	0.00	99.82	0.29	0.01	0.00	99.54	50	48	0.00	350	0.95	0.01	1.06	95.66	3.22	0.36	0.00
5	0.24	2280	2691	172	8	0	1	11	5	0	266	0.00	0.00	0.03	0.05	0.00	99.68	0.46	0.67	0.00	98.63	48	48	0.00	350	0.96	0.97	0.91	94.30	3.31	0.44	0.00
3	0.15	1980	2691	133	0	0	0	1	2	0	170	0.00	0.00	0.00	0.01	0.00	99.84	0.25	0.01	0.00	99.59	50	50	0.00	350	0.85	0.00	1.01	96.05	3.21	0.36	0.00
6	0.26	2292	2691	183	8	0	1	20	7	0	271	0.00	0.00	0.06	0.01	0.00	99.69	0.55	0.74	0.00	98.44	51	48	0.00	350	1.15	0.77	1.14	93.76	3.33	0.46	0.00
3	0.16	1916	2691	146	0	0	1	0	0	0	181	0.00	0.00	0.00	0.00	0.00	99.85	0.26	0.00	0.00	99.59	48	49	0.00	350	0.75	0.00	0.96	96.37	3.20	0.34	0.00
5	0.23	2349	2691	166	8	0	1	17	10	0	246	0.00	0.00	0.04	0.03	0.00	99.70	0.50	0.64	0.00	98.63	48	49	0.00	350	0.84	0.89	0.85	94.55	3.31	0.45	0.00
14	0.46	2958	2691	163	0	0	8	5	1	0	191	0.00	0.35	0.05	0.00	0.00	99.13	1.39	0.01	0.00	98.15	51	48	0.00	350	0.89	0.00	1.16	91.38	3.70	0.79	0.00
6	0.27	2184	2691	238	8	0	3	30	8	0	304	0.00	0.10	0.41	0.01	0.00	99.22	1.46	0.64	0.00	97.63	48	49	0.00	350	1.02	0.68	1.00	90.97	3.44	0.54	0.00
3	0.13	1982	2691	113	0	0	0	0	1	0	146	0.00	0.00	0.00	0.01	0.00	99.86	0.23	0.02	0.00	99.62	48	48	0.00	350	0.70	0.02	0.85	96.67	3.17	0.33	0.00
6	0.25	2264	2691	178	8	0	1	15	1	0	274	0.00	0.00	0.06	0.00	0.00	99.69	0.56	0.65	0.00	98.54	49	49	0.00	350	1.09	0.85	1.14	93.54	3.34	0.46	0.00
3	0.16	1904	2691	159	0	0	0	2	1	0	189	0.00	0.00	0.00	0.00	0.00	99.84	0.26	0.01	0.00	99.58	51	49	0.00	350	0.81	0.01	0.97	96.34	3.20	0.34	0.00
6	0.25	2258	2691	183	8	0	2	24	3	0	275	0.00	0.00	0.07	0.01	0.00	99.68	0.56	0.68	0.00	98.52	47	48	0.00	350	0.99	0.76	1.03	93.98	3.33	0.45	0.00
3	0.16	2078	2691	134	0	0	0	0	1	0	173	0.00	0.00	0.00	0.02	0.00	99.82	0.27	0.04	0.00	99.53	48	48	0.00	350	0.74	0.10	0.84	96.38	3.20	0.35	0.00
6	0.26	2320	2691	199	8	0	4	19	7	0	280	0.00	0.05	0.04	0.01	0.00	99.64	0.62	0.71	0.00	98.41	51	49	0.00	350	1.11	0.69	1.13	93.63	3.37	0.50	0.00
4	0.18	2122	2691	117	8	0	0	2	1	0	161	0.00	0.00	0.00	0.01	0.00	99.85	0.24	0.01	0.00	99.56	51	49	0.00	350	0.75	0.02	0.85	96.46	3.20	0.35	0.00
6	0.26	2206	2691	223	8	0	0	24	3	0	305	0.00	0.00	0.09	0.00	0.00	99.66	0.62	0.68	0.00	98.44	47	48	0.00	350	0.97	0.81	0.96	94.03	3.32	0.45	0.00
3	0.14	1985	2691	118	0	0	0	2	4	0	154	0.00	0.00	0.01	0.03	0.00	99.81	0.25	0.05	0.00	99.55	48	49	0.00	350	0.70	0.06	0.69	96.62	3.19	0.34	0.00
6	0.25	2342	2691	171	8	0	2	16	5	1	261	0.00	0.01	0.04	0.03	0.02	99.66	0.47	0.00	0.04	99.24	51	48	0.00	350	0.99	0.00	1.30	94.60	3.32	0.45	0.00
3	0.17	1961	2691	169	0	0	0	1	1	0	204	0.00	0.00	0.00	0.00	0.00	99.82	0.27	0.00	0.00	99.56	48	48	0.00	350	0.86	0.00	1.12	96.03	3.21	0.35	0.00
6	0.23	2375	2691	155	8	0	6	14	12	0	230	0.00	0.01	0.02	0.05	0.00	99.70	0.39	0.26	0.00	99.12	48	49	0.00	350	0.94	0.57	1.05	94.61	3.29	0.42	0.00
3	0.14	1967	2691	113	0	0	1	1	0	0	151	0.00	0.00	0.02	0.00	0.00	99.84	0.27	0.00	0.00	99.59	48	48	0.00	350	0.62	0.00	0.80	96.64	3.18	0.33	0.00
5	0.24	2318	2691	179	8	0	4	13	14	0	256	0.00	0.01	0.09	0.06	0.00	99.61	0.55	0.28	0.00	98.93	51	49	0.00	350	0.83	0.22	0.93	94.74	3.30	0.44	0.00
3	0.15	1919	2691	129	0	0	0	0	1	0	162	0.00	0.00	0.00	0.00	0.00	99.85	0.25	0.01	0.00	99.60	48	49	0.00	350	0.84	0.01	1.05	96.11	3.19	0.33	0.00
6	0.26	2320	2691	190	8	0	5	14	16	0	268	0.00	0.01	0.05	0.06	0.00	99.64	0.50	0.25	0.00	98.99	47	48	0.00	350	1.01	0.46	1.14	94.25	3.31	0.44	0.00
4	0.18	1972	2691	189	0	0	8	3	2	0	218	0.00	0.39	0.03	0.01	0.00	99.39	1.12	0.01	0.00	98.69	48	48	0.00	350	0.92	0.00	1.15	92.46	3.50	0.61	0.00
6	0.29	2134	2691	236	8	0	0	23	8	0	314	0.00	0.00	0.03	0.02	0.00	99.68	0.57	0.25	0.00	98.90	49	48	0.00	350	1.12	0.37	1.24	93.76	3.34	0.46	0.00
3	0.17	1844	2691	168	0	0	1	1	0	0	201	0.00	0.00	0.00	0.00	0.00	99.83	0.27	0.00	0.00	99.56	48	48	0.00	350	0.84	0.00	1.08	96.00	3.21	0.34	0.00
5	0.23	2336	2691	154	8	0	0	18	9	0	238	0.00	0.00	0.05	0.03	0.00	99.70	0.55	0.28	0.00	98.94	48	49	0.00	350	0.85	0.70	0.89	94.60	3.29	0.42	0.00
3	0.13	1984	2691	116	0	0	0	0	1	0	150	0.00	0.00	0.00	0.00	0.00	99.86	0.22	0.01	0.00	99.64	48	48	0.00	350	0.68	0.01	0.83	96.81	3.17	0.33	0.00
7	0.31	2278	2691	211	16	0	2	17	9	0	303	0.00	0.00	0.07	0.04	0.00	99.63	0.58	0.52	0.00	98.59	49	48	0.00	350	1.19	0.92	1.34	93.00	3.37	0.48	0.00
3	0.14	2162	2691	98	0	0	0	0	0	0	140	0.00	0.00	0.00	0.00	0.00	99.86	0.22	0.00	0.00	99.64	48	48	0.00	350	0.62	0.00	0.69	97.08	3.17	0.33	0.00
5	0.22	2420	2691	138	8	0	5	11	4	0	227	0.00	0.01	0.04	0.03	0.00	99.71	0.44	0.44	0.00	98.90	48	48	0.00	350	0.82	0.73	0.82	94.88	3.28	0.42	0.00
3	0.16	1884	2691	161	0	0	0	1	3	0	193	0.00	0.00	0.00	0.01	0.00	99.83	0.25	0.02	0.00	99.57	50	50	0.00	350	0.83	0.00	0.96	96.12	3.21	0.35	0.00
6	0.28	2347	2691	205	8	0	3	13	5	0	309	0.00	0.00	0.01	0.03	0.00	99.69	0.55	0.45	0.00	98.72	51	51	0.00	350	1.00	0.65	1.03	94.10	3.33	0.46	0.00
3	0.19	1807	2691	209	0	0	0	1	1	0	243	0.00	0.00	0.00	0.00	0.00	99.81	0.30	0.01	0.00	99.50	48	49	0.00	350	0.97	0.01	1.08	95.76	3.22	0.35	0.00
6	0.25	2292	2691	189	8	0	1	19	12	0	272	0.00	0.00	0.05	0.03	0.00	99.69	0.55	0.47	0.00	98.74	48	49	0.00	350	1.07	0.80	1.05	93.90	3.32	0.44	0.00
3	0.16	2067	2691	132	0	0	0	9	0	0	168	0.00	0.00	0.36	0.00	0.00	99.48	0.96	0.00	0.00	98.88	51	48	0.00	350	0.75	0.00	0.82	93.68	3.28	0.40	0.00
6	0.26	2301	2691	215	8	0	4	32	6	0	288	0.00	0.05	0.40	0.03	0.00	99.26	1.32	0.55	0.00	97.87	48	49	0.00	350	0.90	0.79	1.03	91.23	3.43	0.53	0.00
3	0.13	1958	2691	113	0	0	0	1	1	0	144	0.00	0.00	0.00	0.00	0.00	99.86	0.23	0.01	0.00	99.63	50	50	0.00	350	0.69	0.02	0.84	96.67	3.18	0.33	0.00
6	0.24	2327	2691	178	8	0	2	12	8	0	267	0.00	0.00	0.02	0.04	0.00	99.70	0.49	0.45	0.00	98.81	48	49	0.00	350	0.99	0.75	1.05	94.11	3.32	0.45	0.00
3	0.12	2081	2691	105	0	0	0	10	0	0	124	0.00	0.00	0.01	0.00	0.00	99.87	0.22	0.00	0.00	99.66	50	49	0.00	350	0.55	0.00	0.71	97.25	3.15	0.31	0.00
6	0.25	2307	2691	189	8	0	4	22	7	0	268	0.00	0.01	0.05	0.07	0.00	99.64	0.49	0.59	0.00	98.66	48	49	0.00	350	1.14	1.01	1.12	93.43	3.33	0.45	0.00
6	0.25	2411	2691	180	0	0	6	22	7	0	265	0.00	0.06	0.03	0.04	0.00	99.61	0.60	0.51	0.00	98.64	49	49	0.00	350	0.92	0.68	0.99	94.43	3.34	0.47	0.00
5	0.20	2299	2691	144	8	0	0	5	3	0	184	0.00	0.00	0.01	0.02	0.00	99.78	0.33	0.03	0.00	99.44	50	49	0.00	350	0.75	0.01	0.90	96.14	3.24	0.39	0.00
4	0.20	2072	2691	141	8	0	0	1	1	0	190	0.00	0.00	0.00	0.00	0.00	99.84	0.27	0.01	0.00	99.53	52	48	0.00	350	0.83	0.00	0.95	96.06	3.22	0.36	0.00
6	0.25	2281	2691	194	8	0	0	16	4	0	281	0.00	0.00	0.05	0.01	0.00	99.70	0.50	0.75	0.00	98.50	48	49	0.00	350	0.94	0.91	0.94	94.31	3.31	0.45	0.00
3	0.13	2023	2691	99	0	0	1	0	0	0	132	0.00	0.00	0.00	0.00	0.00	99.87	0.21	0.00	0.00	99.66	48	48	0.00	350	0.62	0.00	0.75	96.99	3.17	0.32	0.00
6	0.27	2254	2691	205	8	0	0	15	8	0	304	0.00	0.00	0.04	0.01	0.00	99.69	0.53	0.80	0.00	98.40	50	49	0.00	350	1.14	0.92	1.15	93.52	3.35	0.47	0.00
3	0.15	1899	2691	164	0	0	1	9	2	0	184	0.00	0.00	0.40	0.01	0.00	99.45	1.02	0.01	0.00	98.83	47	49	0.00	350	0.66	0.00	0.85	93.69	3.25	0.37	0.00
6	0.24	2354	2691	159	8	0	2	18	3	0	249	0.00	0.00	0.05	0.00	0.00	99.71	0.50	0.70	0.00	98.56	50	50	0.00	350	0.95	0.82	0.99	94.27	3.31	0.44	0.00
3	0.13	1978	2691	116	0	0	0	1	0	0	146	0.00	0.00	0.00	0.00	0.00	99.86	0.22	0.00	0.00	99.65	48	49	0.00	350	0.61	0.00	0.70	97.00	3.17	0.33	0.00
5	0.23	2379	2691	171	8	0	2	22	5	0	248	0.00	0.00	0.05	0.02	0.00	99.71	0.49	0.75	0.00	98.53	50	47	0.00	350	0.84	0.80	0.75	94.87	3.29	0.43	0.00
3	0.13	2008	2691	110	0	0	0	2	1	0	144	0.00	0.00	0.00	0.00	0.00	99.86	0.22	0.00	0.00	99.64	47	48	0.00	350	0.67	0.00	0.83	96.83	3.17	0.33	0.00
6	0.28	2236	2691	232	8	0	0	20	6	0	319	0.00	0.00	0.04	0.02	0.00	99.67	0.54	0.64	0.00	98.53	47	48	0.00	350	1.04	1.02	1.00	93.82	3.33	0.46	0.00
